that-s-so-raven	series	That's So Raven	2003	23	4	Comedy|Sci-Fi|Fantasy	TV-G	Disney	3	5	comedic|witty|gentle	1	en	/8pSH9b3XKKLBhdlsK9bz0AWYc7C.jpg	4602	No ordinary teenager; Raven Baxter can see glimpses of the future! Watch her schemes and misadventur
wizards-of-waverly-place	series	Wizards of Waverly Place	2007	23	4	Comedy|Sci-Fi|Fantasy|Family	TV-G	Disney	3	4	comedic|gentle|rewatchable	1	en	/spVI8Zns4Ep30zzxcoO7f7nwfck.jpg	3498	Alex, Justin and Max Russo are not your ordinary kids - they're wizards in training! While their par
inuyasha	series	InuYasha	2000	24	2	Animation|Action|Adventure|Sci-Fi|Fantasy|Anime	TV-14	Hulu on Disney+	3	5	tense|emotional|gentle|rewatchable|anime	0	ja	/rQHTNaynedeKurm0sNOsbAZg2oe.jpg	35610	Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbe
gargoyles	series	Gargoyles	1994	22	3	Animation|Sci-Fi|Fantasy|Action|Adventure	TV-Y7	Disney	4	4	tense|gentle|rewatchable	1	en	/yDTZYbiRUapeWRJL6EU3ZtLUAYA.jpg	1719	In Scotland, 994 A.D. Goliath and his clan of gargoyles defend a medieval castle. In present day, Da
mashle-magic-and-muscles	series	MASHLE: MAGIC AND MUSCLES	2023	24	1	Animation|Comedy|Action|Adventure|Sci-Fi|Fantasy|Anime	TV-14	Hulu on Disney+	5	4	comedic|tense|nail-biting|witty|anime|gentle	0	ja	/hfSh6ISwUvtvihITPMK6TPOWarK.jpg	204832	This is a world of magic where magic is used for everything. But deep in the forest exists a young m
tower-of-god	series	Tower of God	2020	24	2	Animation|Action|Adventure|Mystery|Sci-Fi|Fantasy|Anime	TV-14	Hulu on Disney+	3	5	tense|cerebral|slow-burn|gentle|comfort-watch|nail-biting	0	ja	/9QXO4C0AwAuBa15nuDLZU2MyktB.jpg	97860	Reach the top, and everything will be yours. At the top of the tower exists everything in this world
marvel-s-avengers	series	Marvel's Avengers	2013	22	5	Action|Adventure|Animation|Sci-Fi|Fantasy	TV-Y7	Marvel	4	4	tense|gentle|rewatchable	1	en	/aVYPq7FSvsdNQOXVIFnndXJPCXn.jpg	59427	The further adventures of the Marvel Universe's mightiest general membership superhero team. With an
snow-white	movie	Snow White	2025	109	0	Family|Fantasy	PG	Disney	3	5	gentle|music-forward	0	en	/oLxWocqheC8XbXbxqJ3x422j9PW.jpg	447273	Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cr
amphibia	series	Amphibia	2019	11	3	Animation|Action|Adventure|Comedy|Sci-Fi|Fantasy|Family	TV-Y7	Disney	2	5	tense|comedic|gentle|comfort-watch|rewatchable	1	en	/bFCgv9iWZECWSDxNQYc9soqvwjx.jpg	85349	The adventures of 13-year-old, self-centered Anne Boonchuy who is magically transported to the ficti
the-good-place	series	The Good Place	2016	22	4	Sci-Fi|Fantasy|Comedy	TV-14	Hulu on Disney+	2	5	comedic|gentle|comfort-watch|cerebral|rewatchable	0	en	/qIhsuhoIYR5yTnDta0IL4senbeN.jpg	66573	Eleanor Shellstrop, an ordinary woman who, through an extraordinary string of events, enters the aft
the-parent-trap	movie	The Parent Trap	1998	128	0	Comedy|Family|Romance	PG	Disney	1	5	comedic|gentle|emotional	1	en	/p4dGmi8u9W0HHyVXcgWPoiFfKTF.jpg	9820	Hallie Parker and Annie James are identical twins who were separated at a young age due to their par
anora	movie	Anora	2024	139	0	Drama|Comedy|Romance	R	Hulu on Disney+	3	4	emotional|comedic	0	en	/cgXk2tNYhJZLXdBDO5DidAVzQ82.jpg	1064213	A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsivel
poor-things	movie	Poor Things	2023	141	0	Sci-Fi|Romance|Comedy	R	Star	3	4	emotional|comedic|rewatchable	0	en	/kCGlIMHnOm8JPXq3rXM6c5wMxcT.jpg	792307	Brought back to life by an unorthodox scientist, a young woman runs off with a lawyer on a whirlwind
sleeping-beauty	movie	Sleeping Beauty	1959	75	0	Fantasy|Animation|Romance|Family	G	Disney	3	5	emotional|gentle|classic	1	en	/pO9YMLSmj3essVSWSGygjGxX6Kw.jpg	10882	Cursed to die by the evil fairy Maleficent when she was a baby, Princess Aurora is sent into hiding
edward-scissorhands	movie	Edward Scissorhands	1990	105	0	Fantasy|Drama|Romance	PG-13	Star	1	5	emotional|gentle|comfort-watch|classic|rewatchable	0	en	/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg	162	A small suburban town receives a visit from a castaway unfinished science experiment named Edward.
