spidey-and-his-amazing-friends	series	Spidey and His Amazing Friends	2021	12	5	Animation|Family|Sci-Fi|Fantasy|Action|Adventure	TV-Y	Marvel	4	4	gentle|tense	1	en	/etO5jDS5WgR4Y1lTyXhQcilJ6u2.jpg	127635	Follow Peter Parker, Gwen Stacy and Miles Morales and their adventures as the young heroes team up w
zootopia-2	movie	Zootopia 2	2025	108	0	Animation|Adventure|Comedy|Mystery|Family	PG	Disney	2	5	comedic|cerebral|slow-burn|gentle|rewatchable	1	en	/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg	1084242	After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find th
archer	series	Archer	2009	22	14	Comedy|Action|Adventure|Animation	TV-MA	Star	4	5	comedic|tense|witty|gentle|rewatchable	0	en	/vhnrkTGYPqcB63ALcSJm0WoaKHT.jpg	10283	Smart-mouthed superspy Sterling Archer and his dysfunctional team of secret agents turn dangerous mi
sword-art-online	series	Sword Art Online	2012	24	4	Animation|Sci-Fi|Fantasy|Action|Adventure|Anime	TV-MA	Hulu on Disney+	3	5	tense|gentle|comfort-watch|cerebral|rewatchable|anime	0	ja	/9m8bFIXPg26taNrFSXGwEORVACD.jpg	45782	In the near future, a Virtual Reality Massive Multiplayer Online Role-Playing Game (VRMMORPG) called
star-vs-the-forces-of-evil	series	Star vs. the Forces of Evil	2015	11	4	Action|Adventure|Animation|Comedy|Sci-Fi|Fantasy|Family	TV-Y7	Disney	3	4	tense|comedic|gentle|rewatchable	1	en	/dKFL1AOdKNoazqZDg1zq2z69Lx1.jpg	61923	Intergalactic warrior Star Butterfly arrives on Earth to live with the Diaz family. She continues to
steven-universe	series	Steven Universe	2013	11	5	Animation|Action|Adventure|Comedy|Sci-Fi|Fantasy|Family	TV-PG	Hulu on Disney+	2	5	tense|comedic|gentle|comfort-watch|nostalgic|rewatchable	1	en	/8zRstOgaipruJPlsHK2diMx4lPy.jpg	61175	A young boy takes his mother's place in a group of gemstone-based beings, and must learn to control
desperate-housewives	series	Desperate Housewives	2004	42	8	Mystery|Drama|Comedy	TV-14	Hulu on Disney+	2	5	cerebral|slow-burn|emotional|comedic|gentle|comfort-watch	0	en	/4qeI51jDzH81PpUUNaJCBrfm7f6.jpg	693	Looking down on her friends and family isn't a way of life for Mary Alice Young... it's a way of dea
gilmore-girls	series	Gilmore Girls	2000	44	7	Comedy|Drama	TV-14	Hulu on Disney+	1	5	comedic|emotional|gentle|comfort-watch|rewatchable	0	en	/gwtzCwU2wdLLf8oejQu2TINiWfQ.jpg	4586	Set in the charming town of Stars Hollow, Connecticut, the series follows the captivating lives of L
frasier	series	Frasier	1993	24	11	Comedy|Family	TV-PG	Hulu on Disney+	2	5	comedic|gentle|rewatchable	1	en	/gYAb6GCVEFsU9hzMCG5rxaxoIv3.jpg	3452	After many years spent at the “Cheers” bar, Frasier moves back home to Seattle to work as a radio ps
boston-legal	series	Boston Legal	2004	42	5	Comedy|Drama	TV-14	Star	2	5	comedic|emotional|gentle|comfort-watch|rewatchable	0	en	/b0bXUCfpcsgQ6EVVmucU2G76ixT.jpg	4598	Alan Shore and Denny Crane lead a brigade of high-priced civil litigators in an upscale Boston law f
